Node: 0 Time: 0s Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.0.0        0.0.0.0         255.255.255.0   U     0      -      -   1
10.0.1.0        0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.2.0        0.0.0.0         255.255.255.0   U     0      -      -   3
10.0.16.0       0.0.0.0         255.255.255.0   U     0      -      -   4
10.0.17.0       0.0.0.0         255.255.255.0   U     0      -      -   5
10.0.18.0       0.0.0.0         255.255.255.0   U     0      -      -   6
10.0.19.0       0.0.0.0         255.255.255.0   U     0      -      -   7
10.0.20.0       0.0.0.0         255.255.255.0   U     0      -      -   8
10.0.21.0       0.0.0.0         255.255.255.0   U     0      -      -   9
10.0.22.0       0.0.0.0         255.255.255.0   U     0      -      -   10
10.0.23.0       0.0.0.0         255.255.255.0   U     0      -      -   11
10.0.24.0       0.0.0.0         255.255.255.0   U     0      -      -   12
10.0.25.0       0.0.0.0         255.255.255.0   U     0      -      -   13
  Priority: -10 Protocol: ns3::Ipv4GlobalRouting
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.0.2        10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.3.1        10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.5.1        10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.26.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.27.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.28.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.29.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.30.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.31.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.32.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.33.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.34.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.35.1       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.1.2        10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.3.2        10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.4.1        10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.36.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.37.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.38.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.39.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.40.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.41.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.42.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.43.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.44.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.45.1       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.2.2        10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.7.1        10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.8.1        10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.10.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.11.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.46.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.47.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.48.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.49.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.50.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.51.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.52.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.53.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.54.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.55.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
